_date,total_clones,unique_clones
2020-12-03,6,2
2020-12-04,7,1
2020-12-07,10,9
2020-12-10,2,2
2020-12-14,2,2
2020-12-16,2,2
2020-12-21,3,3
2020-12-25,1,1
2020-12-28,3,3
2021-01-04,2,2
2021-01-09,1,1
2021-01-11,1,1
2021-01-18,1,1
2021-01-25,1,1
2021-02-01,1,1
2021-02-04,1,1
2021-02-08,1,1
2021-02-15,1,1
2021-02-22,2,2
2021-03-01,1,1
2021-03-08,1,1
2021-03-13,1,1
2021-03-15,1,1
2021-03-16,1,1
2021-03-22,1,1
2021-03-28,1,1
2021-03-29,2,2
2021-04-03,1,1
2021-04-05,2,2
2021-04-06,1,1
2021-04-08,1,1
2021-04-10,1,1
2021-04-12,2,2
2021-04-13,2,2
2021-04-19,7,3
2021-04-20,1,1
2021-04-26,4,4
2021-05-03,4,4
2021-05-10,1,1
2021-05-17,1,1
2021-05-24,5,5
2021-05-31,4,4
2021-06-06,1,1
2021-06-07,3,3
2021-06-08,1,1
2021-06-14,8,7
2021-06-18,5,5
2021-06-21,3,3
2021-06-28,3,3
2021-07-01,1,1
2021-07-05,1,1
2021-07-12,3,3
2021-07-19,3,3
2021-07-20,1,1
2021-07-22,1,1
2021-07-26,4,4
2021-08-02,4,4
2021-08-07,1,1
2021-08-09,3,3
2021-08-14,1,1
2021-08-16,2,2
2021-08-18,1,1
2021-08-23,1,1
2021-08-30,3,3
2021-08-31,1,1
2021-09-06,1,1
2021-09-13,1,1
2021-09-18,1,1
2021-09-20,2,2
2021-09-21,2,2
2021-09-27,2,2
2021-09-29,1,1
2021-10-04,1,1
2021-10-05,2,2
2021-10-11,4,4
2021-10-16,1,1
2021-10-18,1,1
2021-10-21,5,1
2021-10-23,2,1
2021-10-25,9,4
2021-10-26,2,1
2021-10-27,2,1
2021-11-01,6,4
2021-11-06,1,1
2021-11-07,1,1
2021-11-08,5,3
2021-11-09,1,1
2021-11-15,6,4
2021-11-22,5,3
2021-11-25,2,2
2021-11-26,1,1
2021-11-29,4,3
2021-12-05,1,1
2021-12-06,3,2
2021-12-13,3,2
2021-12-14,1,1
2021-12-17,1,1
2021-12-20,2,1
2021-12-22,1,1
2021-12-27,2,1
2021-12-28,1,1
2021-12-29,4,1
2021-12-30,1,1
2022-01-02,2,1
2022-01-03,2,1
2022-01-09,1,1
2022-01-10,1,1
2022-01-11,3,2
2022-01-16,1,1
2022-01-17,1,1
2022-01-24,3,2
2022-01-25,1,1
2022-01-31,1,1
2022-02-02,2,1
2022-02-07,1,1
2022-02-13,2,1
2022-02-14,1,1
2022-02-16,2,1
2022-02-18,1,1
2022-02-21,1,1
2022-02-28,4,3
2022-03-10,2,1
2022-03-14,2,1
