_date,total_views,unique_views
2020-11-17,3,1
2020-11-18,3,1
2020-11-19,4,1
2020-11-23,1,1
2020-11-26,1,1
2020-12-01,7,2
2020-12-02,1,1
2020-12-03,3,1
2020-12-04,7,3
2020-12-08,1,1
2020-12-09,3,1
2020-12-10,4,2
2020-12-16,4,1
2020-12-17,22,3
2020-12-21,1,1
2020-12-29,4,1
2020-12-30,4,1
2020-12-31,1,1
2021-01-04,45,1
2021-01-05,1,1
2021-01-22,11,1
2021-01-27,1,1
2021-02-02,20,2
2021-02-04,12,1
2021-02-18,1,1
2021-02-19,15,1
2021-02-24,7,1
2021-02-26,5,1
2021-03-13,7,1
2021-03-17,6,1
2021-03-23,14,3
2021-03-24,4,1
2021-03-28,2,1
2021-03-30,2,1
2021-03-31,10,1
2021-04-09,4,1
2021-04-20,9,3
2021-04-21,12,3
2021-04-23,34,2
2021-04-28,6,2
2021-05-06,4,1
2021-05-11,6,1
2021-05-12,6,1
2021-05-13,6,1
2021-05-17,1,1
2021-05-21,2,1
2021-05-25,2,1
2021-05-26,10,3
2021-05-27,6,1
2021-05-29,2,1
2021-06-03,11,2
2021-06-04,4,2
2021-06-07,3,1
2021-06-09,2,1
2021-06-10,1,1
2021-06-12,2,1
2021-06-15,6,1
2021-06-16,4,1
2021-06-18,3,1
2021-07-08,1,1
2021-07-09,6,3
2021-07-12,1,1
2021-07-13,6,1
2021-07-15,2,2
2021-07-19,1,1
2021-07-29,1,1
2021-07-30,1,1
2021-08-11,17,5
2021-08-12,14,3
2021-08-14,9,2
2021-08-15,14,2
2021-08-16,3,1
2021-08-26,16,2
2021-08-29,6,3
2021-08-30,1,1
2021-09-13,4,1
2021-09-23,1,1
2021-09-28,1,1
2021-10-06,4,1
2021-10-07,10,1
2021-10-08,35,3
2021-10-09,1,1
2021-10-11,54,6
2021-10-13,1,1
2021-10-19,6,1
2021-10-21,12,1
2021-10-22,7,1
2021-10-23,3,1
2021-10-27,1,1
2021-10-28,2,2
2021-10-29,4,1
2021-10-30,21,1
2021-11-03,1,1
2021-11-06,21,1
2021-11-08,5,1
2021-11-10,8,1
2021-11-17,1,1
2021-11-21,12,1
2021-11-22,9,2
2021-11-25,5,1
2021-11-26,2,1
2021-12-01,1,1
2021-12-02,1,1
2021-12-09,2,2
2021-12-12,1,1
2021-12-13,1,1
2021-12-14,1,1
2021-12-15,1,1
2021-12-16,1,1
2021-12-18,1,1
2021-12-20,2,1
2021-12-24,1,1
2022-01-08,1,1
2022-01-20,2,1
2022-01-21,3,2
2022-01-24,1,1
2022-02-04,4,1
2022-02-07,17,1
2022-02-09,4,1
2022-02-22,14,4
2022-02-23,15,2
2022-02-24,15,1
2022-02-27,1,1
2022-02-28,2,1
2022-03-04,1,1
2022-03-08,1,1
2022-03-09,2,2
2022-04-04,1,1
2022-04-09,1,1
2022-04-12,2,1
2022-04-14,4,1
2022-04-30,1,1
2022-05-03,1,1
2022-05-09,1,1
2022-05-16,1,1
2022-05-18,1,1
2022-06-01,1,1
2022-06-26,1,1
2022-06-28,4,1
2022-06-29,15,1
2022-07-06,11,6
2022-07-12,13,3
2022-07-13,1,1
2022-07-14,3,1
2022-07-15,82,2
2022-07-18,1,1
2022-07-19,3,2
2022-07-20,1,1
2022-07-24,34,2
2022-07-25,29,1
2022-07-26,30,3
2022-07-27,3,2
2022-07-28,9,1
2022-08-02,7,1
2022-08-03,2,2
2022-08-04,3,1
2022-08-12,1,1
2022-09-01,1,1
2022-09-12,1,1
2022-09-15,1,1
2022-09-20,2,2
2022-09-21,1,1
2022-09-27,2,2
2022-10-03,6,2
2022-10-05,1,1
2022-10-10,1,1
2022-10-11,3,2
2022-10-24,1,1
2022-11-01,1,1
2022-11-08,2,1
2022-11-11,4,3
2022-11-12,1,1
2022-11-19,2,1
2022-11-21,1,1
2022-11-26,1,1
2022-12-01,1,1
2022-12-02,5,1
2022-12-05,1,1
2022-12-10,1,1
2023-01-04,1,1
2023-01-14,1,1
