_date,total_views,unique_views
2020-11-15,2,1
2020-11-16,2,1
2020-11-17,1,1
2020-11-18,2,1
2020-11-22,1,1
2020-11-24,16,5
2020-11-25,2,1
2020-11-27,2,1
2020-11-28,3,1
2020-11-29,4,2
2020-11-30,2,1
2020-12-02,2,2
2020-12-03,3,2
2020-12-04,10,1
2020-12-07,1,1
2020-12-08,5,2
2020-12-09,14,3
2020-12-10,8,1
2020-12-15,2,1
2020-12-16,1,1
2020-12-22,1,1
2020-12-24,1,1
2020-12-28,3,1
2020-12-30,7,1
2021-01-01,2,1
2021-01-08,2,1
2021-01-09,2,1
2021-01-10,5,1
2021-01-13,2,2
2021-01-16,1,1
2021-01-17,1,1
2021-01-22,8,2
2021-01-23,4,2
2021-01-26,1,1
2021-01-29,1,1
2021-01-31,1,1
2021-02-02,10,1
2021-02-03,3,2
2021-02-04,1,1
2021-02-08,4,1
2021-02-09,2,1
2021-02-11,13,2
2021-02-12,2,1
2021-02-16,5,2
2021-02-17,1,1
2021-02-23,2,1
2021-02-24,1,1
2021-03-01,7,2
2021-03-02,4,2
2021-03-04,1,1
2021-03-05,1,1
2021-03-06,1,1
2021-03-08,1,1
2021-03-09,3,2
2021-03-11,4,1
2021-03-12,4,2
2021-03-13,4,2
2021-03-15,1,1
2021-03-16,3,2
2021-03-19,2,1
2021-03-20,2,1
2021-03-22,26,1
2021-03-23,6,2
2021-03-26,4,1
2021-04-02,2,1
2021-04-09,2,2
2021-04-10,2,1
2021-04-12,1,1
2021-04-13,1,1
2021-04-16,1,1
2021-04-17,3,1
2021-04-18,6,2
2021-04-19,1,1
2021-04-22,10,1
2021-04-25,2,1
2021-04-26,2,2
2021-04-27,1,1
2021-05-04,13,2
2021-05-06,3,2
2021-05-09,2,1
2021-05-11,2,2
2021-05-12,4,1
2021-05-13,2,1
2021-05-14,7,7
2021-05-16,1,1
2021-05-17,2,1
2021-05-20,2,1
2021-05-21,5,2
2021-05-23,1,1
2021-05-24,1,1
2021-05-25,1,1
2021-05-27,1,1
2021-05-29,1,1
2021-06-03,5,2
2021-06-10,1,1
2021-06-13,3,1
2021-06-15,6,1
2021-06-23,6,1
2021-06-26,1,1
2021-06-28,1,1
2021-07-03,6,2
2021-07-08,6,1
2021-07-11,1,1
2021-07-14,2,1
2021-07-15,4,2
2021-07-16,2,1
2021-07-22,3,1
2021-07-27,2,1
2021-07-28,1,1
2021-08-01,1,1
2021-08-02,4,1
2021-08-05,2,2
2021-08-06,2,1
2021-08-07,4,1
2021-08-08,2,1
2021-08-11,1,1
2021-08-12,1,1
2021-08-16,2,1
2021-08-17,2,1
2021-08-18,3,1
2021-08-22,1,1
2021-08-24,2,1
2021-08-25,1,1
2021-08-28,6,1
2021-08-31,6,2
2021-09-03,8,2
2021-09-04,1,1
2021-09-06,1,1
2021-09-07,1,1
2021-09-10,13,1
2021-09-13,1,1
2021-09-15,4,2
2021-09-21,5,1
2021-09-26,1,1
2021-09-27,4,1
2021-09-29,10,1
2021-09-30,5,2
2021-10-01,3,1
2021-10-04,2,1
2021-10-06,2,1
2021-10-08,2,1
2021-10-11,1,1
2021-10-12,4,1
2021-10-19,5,2
2021-10-21,4,1
2021-10-28,3,2
2021-10-30,1,1
2021-10-31,1,1
2021-11-02,3,1
2021-11-04,3,1
2021-11-08,6,2
2021-11-11,5,2
2021-11-16,3,1
2021-11-18,4,1
2021-11-19,2,2
2021-11-22,1,1
2021-11-24,4,2
2021-12-03,2,1
2021-12-08,3,2
2021-12-10,2,1
2021-12-14,1,1
2021-12-15,3,2
2021-12-17,2,2
2021-12-18,1,1
2021-12-20,6,1
2021-12-23,4,1
2021-12-24,3,1
2022-01-03,4,2
2022-01-05,4,1
2022-01-09,3,1
2022-01-16,1,1
2022-01-17,2,2
2022-01-20,3,2
2022-01-21,2,1
2022-01-22,2,1
2022-01-24,1,1
2022-01-26,1,1
2022-01-27,9,1
2022-01-31,4,2
2022-02-01,7,2
2022-02-02,14,3
2022-02-06,1,1
2022-02-07,1,1
2022-02-08,6,3
2022-02-09,2,1
2022-02-15,3,1
2022-02-16,2,1
2022-02-17,1,1
2022-02-22,4,1
2022-03-02,3,1
2022-03-07,3,1
2022-03-09,3,1
2022-03-18,1,1
2022-03-25,2,1
2022-03-26,2,1
2022-03-29,5,1
2022-03-31,2,2
2022-04-05,1,1
2022-04-06,2,1
2022-04-07,3,2
2022-04-09,3,1
2022-04-12,4,1
2022-04-16,1,1
2022-04-17,2,2
2022-04-18,2,1
2022-04-19,1,1
2022-04-20,1,1
2022-04-26,2,1
2022-04-29,3,1
2022-04-30,3,1
2022-05-02,3,2
2022-05-05,1,1
2022-05-07,3,1
2022-05-12,1,1
2022-05-16,2,1
2022-05-17,3,2
2022-05-18,1,1
2022-05-19,2,1
2022-05-30,2,1
2022-06-01,6,1
2022-06-08,1,1
2022-06-17,4,2
2022-06-19,1,1
2022-06-20,1,1
2022-06-21,1,1
2022-06-22,8,3
2022-06-23,1,1
2022-06-26,3,2
